resource_type,owner,owner_type,source,id,concept_class,datatype,name,description,eheza_category,eheza_field_path,confidence
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-055,Test,Coded,Rapid syphilis test,Rapid syphilis test (RPR/treponemal),Labs,SyphilisTestValue,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-056,Test,Coded,Hepatitis B surface antigen test,Hepatitis B surface antigen (HBsAg) result,Labs,HepatitisBTestValue,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-057,Test,Coded,Malaria RDT,Malaria rapid diagnostic test,Labs,MalariaTestValue,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-058,Test,Numeric,Hemoglobin,Hemoglobin in g/dL,Labs,HemoglobinTestValue,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-059,Test,Numeric,Serum glucose,Random blood sugar / serum glucose,Labs,RandomBloodSugarTestValue,medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-060,Test,Coded,Urine protein (dipstick),Qualitative urine protein on dipstick,Labs,UrineDipstickTestValue.protein,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-061,Test,Coded,"Glucose measurement, qualitative, urine",Qualitative urine glucose on dipstick,Labs,UrineDipstickTestValue.glucose,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-062,Test,Coded,White blood cells in urine,Leukocytes on urine dipstick,Labs,UrineDipstickTestValue.leukocytes,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-063,Test,Coded,Urine nitrite test,Nitrites on urine dipstick,Labs,UrineDipstickTestValue.nitrite,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-065,Test,Coded,Blood group,ABO blood group,Labs,BloodGpRsTestValue.bloodGroup,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-066,Test,Coded,Rh factor,Rhesus factor,Labs,BloodGpRsTestValue.rhesus,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-067,Question,Coded,Contraceptive use,Current family planning method,Family planning,FamilyPlanningSign,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-068,Drug,N/A,Td booster,Tetanus-diphtheria booster (pregnancy),Immunisation,TetanusImmunisationValue,medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-069,Question,Coded,Received insecticide treated bednet,Patient received / sleeps under ITN,Prevention,MalariaPreventionSign.MosquitoNet,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-PRE-070,Test,Coded,Urine pregnancy test,Urine pregnancy test result,Labs,PregnancyTestValue,high
